Interaction index,Player index,Opponent index,Repetition,Player name,Opponent name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Winner List,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
0,0,0,0,Cooperator,Cooperator,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,309,0,103,3.0,0.0,0,"[0, 0, 1]",True,103,103,0,0,0,102,0,0,0,0,0,0,0,1
0,0,0,0,Cooperator,Cooperator,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,309,0,103,3.0,0.0,0,"[0, 0, 1]",True,103,103,0,0,0,102,0,0,0,0,0,0,0,1
1,0,1,0,Cooperator,Defector,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,0,-505,101,0.0,-5.0,0,"[0, 1, 0]",True,101,0,101,0,0,0,0,100,0,0,0,0,0,1
1,1,0,0,Defector,Cooperator,DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,505,505,101,5.0,5.0,1,"[0, 1, 0]",False,0,0,0,101,0,0,0,0,0,0,100,0,0,0
2,0,2,0,Cooperator,Tit For Tat,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,327,0,109,3.0,0.0,0,"[0, 0, 1]",True,109,109,0,0,0,108,0,0,0,0,0,0,0,1
2,2,0,0,Tit For Tat,Cooperator,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,327,0,109,3.0,0.0,0,"[0, 0, 1]",True,109,109,0,0,0,108,0,0,0,0,0,0,0,1
3,1,1,0,Defector,Defector,DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,100,0,100,1.0,0.0,0,"[0, 0, 1]",False,0,0,0,0,100,0,0,0,0,0,0,0,99,1
3,1,1,0,Defector,Defector,DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,100,0,100,1.0,0.0,0,"[0, 0, 1]",False,0,0,0,0,100,0,0,0,0,0,0,0,99,1
4,1,2,0,Defector,Tit For Tat,DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,98,5,94,1.0425531914893618,0.05319148936170213,1,"[1, 0, 0]",False,0,0,0,1,93,0,0,0,0,0,1,0,92,0
4,2,1,0,Tit For Tat,Defector,CDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,93,-5,94,0.9893617021276596,-0.05319148936170213,0,"[1, 0, 0]",True,1,0,1,0,93,0,0,0,1,0,0,0,92,1
5,2,2,0,Tit For Tat,Tit For Tat,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,297,0,99,3.0,0.0,0,"[0, 0, 1]",True,99,99,0,0,0,98,0,0,0,0,0,0,0,1
5,2,2,0,Tit For Tat,Tit For Tat,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,297,0,99,3.0,0.0,0,"[0, 0, 1]",True,99,99,0,0,0,98,0,0,0,0,0,0,0,1
