,Tit For Tat,First by Tideman and Chieruzzi,First by Nydegger,First by Grofman,First by Shubik,First by Stein and Rapoport,Grudger,First by Davis,First by Graaskamp,First by Downing,First by Feld,First by Joss,First by Tullock,First by Anonymous,Random
Tit For Tat,"[0, 0, 5]","[0, 5, 0]","[0, 0, 5]","[0, 0, 5]","[0, 0, 5]","[0, 5, 0]","[0, 0, 5]","[0, 0, 5]","[0, 0, 5]","[0, 0, 5]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]","[0, 0, 5]","[0, 5, 0]"
First by Tideman and Chieruzzi,"[5, 0, 0]","[0, 0, 5]","[5, 0, 0]","[5, 0, 0]","[5, 0, 0]","[0, 0, 5]","[5, 0, 0]","[5, 0, 0]","[5, 0, 0]","[5, 0, 0]","[0, 0, 5]","[0, 0, 5]","[5, 0, 0]","[5, 0, 0]","[5, 0, 0]"
First by Nydegger,"[0, 0, 5]","[0, 5, 0]","[0, 0, 5]","[0, 0, 5]","[0, 0, 5]","[0, 5, 0]","[0, 0, 5]","[0, 0, 5]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]"
First by Grofman,"[0, 0, 5]","[0, 5, 0]","[0, 0, 5]","[0, 0, 5]","[0, 0, 5]","[0, 5, 0]","[0, 0, 5]","[0, 0, 5]","[5, 0, 0]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]"
First by Shubik,"[0, 0, 5]","[0, 5, 0]","[0, 0, 5]","[0, 0, 5]","[0, 0, 5]","[0, 5, 0]","[0, 0, 5]","[0, 0, 5]","[5, 0, 0]","[0, 5, 0]","[0, 0, 5]","[0, 5, 0]","[0, 5, 0]","[5, 0, 0]","[5, 0, 0]"
First by Stein and Rapoport,"[5, 0, 0]","[0, 0, 5]","[5, 0, 0]","[5, 0, 0]","[5, 0, 0]","[0, 0, 5]","[5, 0, 0]","[5, 0, 0]","[5, 0, 0]","[5, 0, 0]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]","[5, 0, 0]","[5, 0, 0]"
Grudger,"[0, 0, 5]","[0, 5, 0]","[0, 0, 5]","[0, 0, 5]","[0, 0, 5]","[0, 5, 0]","[0, 0, 5]","[0, 0, 5]","[5, 0, 0]","[5, 0, 0]","[0, 0, 5]","[0, 0, 5]","[5, 0, 0]","[5, 0, 0]","[5, 0, 0]"
First by Davis,"[0, 0, 5]","[0, 5, 0]","[0, 0, 5]","[0, 0, 5]","[0, 0, 5]","[0, 5, 0]","[0, 0, 5]","[0, 0, 5]","[5, 0, 0]","[0, 5, 0]","[0, 0, 5]","[0, 0, 5]","[5, 0, 0]","[5, 0, 0]","[5, 0, 0]"
First by Graaskamp,"[0, 0, 5]","[0, 5, 0]","[5, 0, 0]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]","[0, 0, 5]","[5, 0, 0]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]","[5, 0, 0]","[5, 0, 0]"
First by Downing,"[0, 0, 5]","[0, 5, 0]","[5, 0, 0]","[5, 0, 0]","[5, 0, 0]","[0, 5, 0]","[0, 5, 0]","[5, 0, 0]","[0, 5, 0]","[0, 0, 5]","[0, 5, 0]","[0, 5, 0]","[5, 0, 0]","[5, 0, 0]","[0, 5, 0]"
First by Feld,"[5, 0, 0]","[0, 0, 5]","[5, 0, 0]","[5, 0, 0]","[0, 0, 5]","[5, 0, 0]","[0, 0, 5]","[0, 0, 5]","[5, 0, 0]","[5, 0, 0]","[0, 0, 5]","[0, 0, 5]","[0, 5, 0]","[5, 0, 0]","[5, 0, 0]"
First by Joss,"[5, 0, 0]","[0, 0, 5]","[5, 0, 0]","[5, 0, 0]","[5, 0, 0]","[5, 0, 0]","[0, 0, 5]","[0, 0, 5]","[5, 0, 0]","[5, 0, 0]","[0, 0, 5]","[0, 0, 5]","[5, 0, 0]","[5, 0, 0]","[0, 0, 5]"
First by Tullock,"[5, 0, 0]","[0, 5, 0]","[5, 0, 0]","[5, 0, 0]","[5, 0, 0]","[5, 0, 0]","[0, 5, 0]","[0, 5, 0]","[5, 0, 0]","[0, 5, 0]","[5, 0, 0]","[0, 5, 0]","[2, 2, 0]","[5, 0, 0]","[0, 0, 5]"
First by Anonymous,"[0, 0, 5]","[0, 5, 0]","[5, 0, 0]","[5, 0, 0]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]","[2, 2, 0]","[0, 5, 0]"
Random,"[5, 0, 0]","[0, 5, 0]","[5, 0, 0]","[5, 0, 0]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]","[0, 5, 0]","[5, 0, 0]","[0, 5, 0]","[0, 0, 5]","[0, 0, 5]","[5, 0, 0]","[2, 2, 0]"
