,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",First by Nydegger,First by Grofman,First by Shubik,"First by Stein and Rapoport: 0.05: (D, D)",Grudger,First by Davis: 10,First by Graaskamp: 0.05,First by Downing,"First by Feld: 1.0, 0.5, 200",First by Joss: 0.9,First by Tullock,First by Anonymous,Random: 0.5
Tit For Tat,"[0, 0, 2]","[0, 1, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 1, 0]","[0, 0, 1]","[0, 0, 1]","[0, 1, 0]","[0, 0, 1]","[0, 1, 0]","[0, 1, 0]","[0, 1, 0]","[0, 0, 1]","[0, 1, 0]"
"First by Tideman and Chieruzzi: (D, D)","[0, 1, 0]","[0, 0, 2]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]"
First by Nydegger,"[0, 0, 1]","[1, 0, 0]","[0, 0, 2]","[0, 0, 1]","[0, 0, 1]","[0, 1, 0]","[0, 0, 1]","[0, 0, 1]","[0, 1, 0]","[0, 1, 0]","[0, 1, 0]","[0, 1, 0]","[0, 1, 0]","[0, 1, 0]","[0, 1, 0]"
First by Grofman,"[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[0, 0, 2]","[0, 0, 1]","[0, 1, 0]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[0, 1, 0]","[0, 1, 0]","[0, 1, 0]","[0, 1, 0]","[0, 1, 0]","[0, 1, 0]"
First by Shubik,"[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 2]","[0, 1, 0]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[0, 1, 0]","[0, 1, 0]","[0, 1, 0]","[0, 1, 0]","[1, 0, 0]","[1, 0, 0]"
"First by Stein and Rapoport: 0.05: (D, D)","[0, 1, 0]","[0, 0, 1]","[0, 1, 0]","[0, 1, 0]","[0, 1, 0]","[0, 0, 2]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[0, 1, 0]","[0, 1, 0]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]"
Grudger,"[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[0, 0, 2]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[0, 1, 0]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]"
First by Davis: 10,"[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[0, 0, 2]","[1, 0, 0]","[0, 1, 0]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]"
First by Graaskamp: 0.05,"[0, 1, 0]","[1, 0, 0]","[0, 1, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[0, 0, 2]","[1, 0, 0]","[0, 1, 0]","[0, 0, 1]","[0, 1, 0]","[1, 0, 0]","[1, 0, 0]"
First by Downing,"[0, 0, 1]","[1, 0, 0]","[0, 1, 0]","[0, 1, 0]","[0, 1, 0]","[1, 0, 0]","[1, 0, 0]","[0, 1, 0]","[1, 0, 0]","[0, 0, 2]","[0, 1, 0]","[0, 1, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]"
"First by Feld: 1.0, 0.5, 200","[0, 1, 0]","[0, 0, 1]","[0, 1, 0]","[0, 1, 0]","[0, 1, 0]","[0, 1, 0]","[0, 1, 0]","[0, 0, 1]","[0, 1, 0]","[0, 1, 0]","[2, 0, 0]","[0, 1, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]"
First by Joss: 0.9,"[0, 1, 0]","[0, 0, 1]","[0, 1, 0]","[0, 1, 0]","[0, 1, 0]","[0, 1, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 1, 0]","[0, 1, 0]","[0, 0, 2]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]"
First by Tullock,"[0, 1, 0]","[1, 0, 0]","[0, 1, 0]","[0, 1, 0]","[0, 1, 0]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[0, 1, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[0, 2, 0]","[1, 0, 0]","[1, 0, 0]"
First by Anonymous,"[0, 0, 1]","[1, 0, 0]","[0, 1, 0]","[0, 1, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[2, 0, 0]","[0, 1, 0]"
Random: 0.5,"[0, 1, 0]","[1, 0, 0]","[0, 1, 0]","[0, 1, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[0, 1, 0]","[0, 2, 0]"
