,utility_per_turn inverse main diagonal
Tit For Tat,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
First by Tideman and Chieruzzi,"[2.981735159817352, 2.979591836734694, 2.9815668202764978, 2.9791666666666665, 2.979381443298969, 2.977777777777778, 2.979057591623037, 2.981735159817352, 2.9791666666666665, 2.978947368421053, 2.98, 2.978947368421053, 2.978142076502732, 2.9813953488372094, 2.977777777777778, 2.978021978021978, 2.981651376146789, 2.98, 2.98, 2.9808612440191387, 2.9812206572769955, 2.981735159817352, 2.981818181818182, 2.978947368421053, 2.977777777777778, 2.978609625668449, 2.979591836734694, 2.9812206572769955, 2.9815668202764978, 2.979057591623037, 2.9814814814814814, 2.977777777777778, 2.979274611398964, 2.981735159817352, 2.98019801980198, 2.9808612440191387, 2.980295566502463, 2.9782608695652173, 2.978142076502732, 2.980952380952381, 2.9814814814814814, 2.97948717948718, 2.9813953488372094, 2.981735159817352, 2.98, 2.98019801980198, 2.977900552486188, 2.978142076502732, 2.981132075471698, 2.977900552486188, 2.979695431472081, 2.98, 2.97979797979798, 2.981818181818182, 2.9808612440191387, 2.979381443298969, 2.9814814814814814, 2.978947368421053, 2.97979797979798, 2.980769230769231, 2.981132075471698, 2.981308411214953, 2.978142076502732, 2.9808612440191387, 2.9805825242718447, 2.980952380952381, 2.980676328502416, 2.97948717948718, 2.980392156862745, 2.9804878048780488, 2.978494623655914, 2.98, 2.9805825242718447, 2.97948717948718, 2.980952380952381, 2.977900552486188, 2.9788359788359786, 2.9812206572769955, 2.98019801980198, 2.9788359788359786, 2.981308411214953, 2.978723404255319, 2.978947368421053, 2.981818181818182, 2.979274611398964, 2.981042654028436, 2.9800995024875623, 2.981042654028436, 2.980769230769231, 2.978609625668449, 2.981308411214953, 2.980769230769231, 2.978609625668449, 2.9782608695652173, 2.978494623655914, 2.979695431472081, 2.9808612440191387, 2.9812206572769955, 2.979274611398964, 2.979695431472081]"
First by Nydegger,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
First by Grofman,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
First by Shubik,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
First by Stein and Rapoport,"[2.979591836734694, 2.9813953488372094, 2.97948717948718, 2.9805825242718447, 2.978494623655914, 2.981132075471698, 2.97979797979798, 2.980952380952381, 2.978723404255319, 2.9813953488372094, 2.979057591623037, 2.978947368421053, 2.980392156862745, 2.98019801980198, 2.978947368421053, 2.978142076502732, 2.97948717948718, 2.97948717948718, 2.9812206572769955, 2.9800995024875623, 2.980769230769231, 2.979591836734694, 2.97979797979798, 2.98, 2.979274611398964, 2.9783783783783786, 2.981735159817352, 2.977777777777778, 2.978494623655914, 2.979695431472081, 2.979057591623037, 2.9808612440191387, 2.979381443298969, 2.98, 2.981735159817352, 2.977900552486188, 2.9791666666666665, 2.9812206572769955, 2.980769230769231, 2.981818181818182, 2.97948717948718, 2.981818181818182, 2.9791666666666665, 2.979274611398964, 2.980676328502416, 2.978609625668449, 2.981132075471698, 2.9812206572769955, 2.9814814814814814, 2.981042654028436, 2.9804878048780488, 2.978494623655914, 2.979899497487437, 2.978142076502732, 2.980952380952381, 2.978723404255319, 2.978947368421053, 2.981042654028436, 2.979695431472081, 2.977900552486188, 2.9783783783783786, 2.981818181818182, 2.981735159817352, 2.979591836734694, 2.9791666666666665, 2.979899497487437, 2.978723404255319, 2.978609625668449, 2.977777777777778, 2.97979797979798, 2.978494623655914, 2.979899497487437, 2.979381443298969, 2.9805825242718447, 2.980295566502463, 2.979274611398964, 2.97979797979798, 2.97948717948718, 2.978723404255319, 2.979274611398964, 2.981132075471698, 2.977777777777778, 2.979274611398964, 2.978609625668449, 2.980392156862745, 2.978723404255319, 2.978142076502732, 2.9805825242718447, 2.9812206572769955, 2.980769230769231, 2.978494623655914, 2.978142076502732, 2.9800995024875623, 2.979381443298969, 2.981651376146789, 2.979057591623037, 2.979695431472081, 2.979274611398964, 2.9783783783783786, 2.980676328502416]"
Grudger,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
First by Davis,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
First by Graaskamp,"[1.4975124378109452, 1.5376344086021505, 1.5263157894736843, 1.4975124378109452, 1.5434782608695652, 1.5181347150259068, 1.4608294930875576, 1.5128205128205128, 1.45662100456621, 1.462962962962963, 1.4975124378109452, 1.5494505494505495, 1.4901960784313726, 1.471698113207547, 1.4784688995215312, 1.5, 1.53475935828877, 1.5434782608695652, 1.495049504950495, 1.510204081632653, 1.45662100456621, 1.4545454545454546, 1.523560209424084, 1.5319148936170213, 1.529100529100529, 1.4854368932038835, 1.4694835680751173, 1.510204081632653, 1.5494505494505495, 1.4739336492890995, 1.4587155963302751, 1.4854368932038835, 1.5405405405405406, 1.5376344086021505, 1.4587155963302751, 1.529100529100529, 1.5376344086021505, 1.5154639175257731, 1.4901960784313726, 1.5555555555555556, 1.5405405405405406, 1.471698113207547, 1.5208333333333333, 1.495049504950495, 1.5128205128205128, 1.53475935828877, 1.462962962962963, 1.5405405405405406, 1.5208333333333333, 1.4975124378109452, 1.5263157894736843, 1.4545454545454546, 1.5405405405405406, 1.5, 1.495049504950495, 1.4975124378109452, 1.4878048780487805, 1.5181347150259068, 1.4901960784313726, 1.5405405405405406, 1.5025125628140703, 1.5181347150259068, 1.4807692307692308, 1.5, 1.4926108374384237, 1.510204081632653, 1.4830917874396137, 1.4608294930875576, 1.471698113207547, 1.4807692307692308, 1.53475935828877, 1.4739336492890995, 1.5494505494505495, 1.4651162790697674, 1.462962962962963, 1.5128205128205128, 1.5555555555555556, 1.4739336492890995, 1.4975124378109452, 1.5376344086021505, 1.529100529100529, 1.5524861878453038, 1.4878048780487805, 1.4975124378109452, 1.4651162790697674, 1.4830917874396137, 1.546448087431694, 1.53475935828877, 1.5025125628140703, 1.5319148936170213, 1.4830917874396137, 1.462962962962963, 1.4739336492890995, 1.5208333333333333, 1.4901960784313726, 1.5154639175257731, 1.4694835680751173, 1.4901960784313726, 1.5319148936170213, 1.5434782608695652]"
First by Downing,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
