,Tit For Tat,First by Tideman and Chieruzzi,First by Nydegger,First by Grofman,First by Shubik,First by Stein and Rapoport,Grudger,First by Davis,First by Graaskamp,First by Downing,First by Feld,First by Joss,First by Tullock,First by Anonymous,Random,Second by Appold,Second by Black,Second by Borufsen,Second by Cave,Second by Champion,Second by Colbert,Second by Eatherley,Second by Getzler,Second by Gladstein,Second by GraaskampKatzen,Second by Harrington,Second by Kluepfel,Second by Leyvraz,Second by Mikkelson,Second by Grofman,Second by Tideman and Chieruzzi,Second by RichardHufford,Second by Rowsam,Second by Tester,Second by Tranquilizer,Second by Weiner,Second by White,Second by WmAdams,Second by Yamachi
Tit For Tat,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
First by Tideman and Chieruzzi,"[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
First by Nydegger,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[100, 0, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
First by Grofman,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
First by Shubik,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
First by Stein and Rapoport,"[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
Grudger,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
First by Davis,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 100, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
First by Graaskamp,"[0, 0, 100]","[0, 100, 0]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[100, 0, 0]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]","[100, 0, 0]"
First by Downing,"[0, 0, 100]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
First by Feld,"[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
First by Joss,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
First by Tullock,"[100, 0, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[50, 50, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]","[100, 0, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
First by Anonymous,"[0, 0, 100]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[50, 50, 0]","[0, 100, 0]","[0, 0, 100]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]"
Random,"[0, 0, 100]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[50, 50, 0]","[0, 100, 0]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]"
Second by Appold,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
Second by Black,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
Second by Borufsen,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
Second by Cave,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
Second by Champion,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
Second by Colbert,"[0, 0, 100]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 100, 0]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
Second by Eatherley,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
