,Tit For Tat,First by Tideman and Chieruzzi,First by Nydegger,First by Grofman,First by Shubik,First by Stein and Rapoport,Grudger,First by Davis,First by Graaskamp,First by Downing,First by Feld,First by Joss,First by Tullock,First by Anonymous,Random,Second by Appold,Second by Black,Second by Borufsen,Second by Cave,Second by Champion,Second by Colbert,Second by Eatherley,Second by Getzler,Second by Gladstein,Second by GraaskampKatzen,Second by Harrington,Second by Kluepfel,Second by Leyvraz,Second by Mikkelson,Second by Grofman,Second by Tideman and Chieruzzi,Second by RichardHufford,Second by Rowsam,Second by Tester,Second by Tranquilizer,Second by Weiner,Second by White,Second by WmAdams,Second by Yamachi
Tit For Tat,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 52, 48]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 38, 62]","[0, 57, 43]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 3, 97]","[0, 0, 100]","[0, 0, 100]","[0, 4, 96]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
First by Tideman and Chieruzzi,"[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
First by Nydegger,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[55, 0, 45]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[46, 0, 54]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
First by Grofman,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
First by Shubik,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
First by Stein and Rapoport,"[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[56, 0, 44]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[99, 0, 1]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
Grudger,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
First by Davis,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 100, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
First by Graaskamp,"[52, 0, 48]","[0, 100, 0]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 56, 44]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]","[100, 0, 0]","[47, 0, 53]","[4, 0, 96]","[0, 100, 0]","[100, 0, 0]","[89, 0, 11]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[13, 0, 87]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]","[100, 0, 0]"
First by Downing,"[0, 0, 100]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
First by Feld,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
