P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"Tit For Tat,Tit For Tat","[0, 0, 10]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",600,3.0,600,3.0
"Grudger,First by Feld: 1.0, 0.5, 200","[0, 0, 10]","[243, 243, 243, 243, 243, 243, 243, 243, 243, 243]","[1.215, 1.215, 1.215, 1.215, 1.215, 1.215, 1.215, 1.215, 1.215, 1.215]","[243, 243, 243, 243, 243, 243, 243, 243, 243, 243]","[1.215, 1.215, 1.215, 1.215, 1.215, 1.215, 1.215, 1.215, 1.215, 1.215]",243,1.215,243,1.215
"Tit For Tat,First by Tideman and Chieruzzi: (D, D)","[0, 10, 0]","[595, 595, 595, 595, 595, 595, 595, 595, 595, 595]","[2.975, 2.975, 2.975, 2.975, 2.975, 2.975, 2.975, 2.975, 2.975, 2.975]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",595,2.975,600,3.0
"Tit For Tat,First by Nydegger","[0, 0, 10]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",600,3.0,600,3.0
"Grudger,First by Joss: 0.9","[0, 0, 10]","[209, 209, 209, 209, 209, 209, 209, 209, 209, 209]","[1.045, 1.045, 1.045, 1.045, 1.045, 1.045, 1.045, 1.045, 1.045, 1.045]","[209, 209, 209, 209, 209, 209, 209, 209, 209, 209]","[1.045, 1.045, 1.045, 1.045, 1.045, 1.045, 1.045, 1.045, 1.045, 1.045]",209,1.045,209,1.045
"Tit For Tat,First by Grofman","[0, 0, 10]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",600,3.0,600,3.0
"Grudger,First by Anonymous","[10, 0, 0]","[585, 585, 585, 585, 585, 585, 585, 585, 585, 585]","[2.925, 2.925, 2.925, 2.925, 2.925, 2.925, 2.925, 2.925, 2.925, 2.925]","[115, 115, 115, 115, 115, 115, 115, 115, 115, 115]","[0.575, 0.575, 0.575, 0.575, 0.575, 0.575, 0.575, 0.575, 0.575, 0.575]",585,2.925,115,0.575
"Tit For Tat,First by Shubik","[0, 0, 10]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",600,3.0,600,3.0
"First by Davis: 10,First by Graaskamp: 0.05","[10, 0, 0]","[411, 411, 411, 411, 411, 411, 411, 411, 411, 411]","[2.055, 2.055, 2.055, 2.055, 2.055, 2.055, 2.055, 2.055, 2.055, 2.055]","[276, 276, 276, 276, 276, 276, 276, 276, 276, 276]","[1.38, 1.38, 1.38, 1.38, 1.38, 1.38, 1.38, 1.38, 1.38, 1.38]",411,2.055,276,1.38
"Tit For Tat,First by Stein and Rapoport: 0.05: (D, D)","[0, 10, 0]","[595, 595, 595, 595, 595, 595, 595, 595, 595, 595]","[2.975, 2.975, 2.975, 2.975, 2.975, 2.975, 2.975, 2.975, 2.975, 2.975]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",595,2.975,600,3.0
