Interaction index,Player name,Opponent name,Score,Score difference,Score per turn,Winner List
0,Tit For Tat,Tit For Tat,600,0,3.0,"[0, 0, 1]"
0,Tit For Tat,Tit For Tat,600,0,3.0,"[0, 0, 1]"
1,Tit For Tat,Tit For Tat,600,0,3.0,"[0, 0, 1]"
1,Tit For Tat,Tit For Tat,600,0,3.0,"[0, 0, 1]"
2,Tit For Tat,Tit For Tat,600,0,3.0,"[0, 0, 1]"
2,Tit For Tat,Tit For Tat,600,0,3.0,"[0, 0, 1]"
3,Tit For Tat,Tit For Tat,600,0,3.0,"[0, 0, 1]"
3,Tit For Tat,Tit For Tat,600,0,3.0,"[0, 0, 1]"
4,Tit For Tat,Tit For Tat,600,0,3.0,"[0, 0, 1]"
4,Tit For Tat,Tit For Tat,600,0,3.0,"[0, 0, 1]"
5,Tit For Tat,Tit For Tat,600,0,3.0,"[0, 0, 1]"
5,Tit For Tat,Tit For Tat,600,0,3.0,"[0, 0, 1]"
6,Tit For Tat,Tit For Tat,600,0,3.0,"[0, 0, 1]"
6,Tit For Tat,Tit For Tat,600,0,3.0,"[0, 0, 1]"
7,Tit For Tat,Tit For Tat,600,0,3.0,"[0, 0, 1]"
7,Tit For Tat,Tit For Tat,600,0,3.0,"[0, 0, 1]"
8,Tit For Tat,Tit For Tat,600,0,3.0,"[0, 0, 1]"
8,Tit For Tat,Tit For Tat,600,0,3.0,"[0, 0, 1]"
9,Tit For Tat,Tit For Tat,600,0,3.0,"[0, 0, 1]"
9,Tit For Tat,Tit For Tat,600,0,3.0,"[0, 0, 1]"
10,Grudger,"First by Feld: 1.0, 0.5, 200",243,0,1.215,"[0, 0, 1]"
10,"First by Feld: 1.0, 0.5, 200",Grudger,243,0,1.215,"[0, 0, 1]"
11,Grudger,"First by Feld: 1.0, 0.5, 200",243,0,1.215,"[0, 0, 1]"
11,"First by Feld: 1.0, 0.5, 200",Grudger,243,0,1.215,"[0, 0, 1]"
12,Grudger,"First by Feld: 1.0, 0.5, 200",243,0,1.215,"[0, 0, 1]"
12,"First by Feld: 1.0, 0.5, 200",Grudger,243,0,1.215,"[0, 0, 1]"
13,Grudger,"First by Feld: 1.0, 0.5, 200",243,0,1.215,"[0, 0, 1]"
13,"First by Feld: 1.0, 0.5, 200",Grudger,243,0,1.215,"[0, 0, 1]"
14,Grudger,"First by Feld: 1.0, 0.5, 200",243,0,1.215,"[0, 0, 1]"
14,"First by Feld: 1.0, 0.5, 200",Grudger,243,0,1.215,"[0, 0, 1]"
15,Grudger,"First by Feld: 1.0, 0.5, 200",243,0,1.215,"[0, 0, 1]"
15,"First by Feld: 1.0, 0.5, 200",Grudger,243,0,1.215,"[0, 0, 1]"
16,Grudger,"First by Feld: 1.0, 0.5, 200",243,0,1.215,"[0, 0, 1]"
16,"First by Feld: 1.0, 0.5, 200",Grudger,243,0,1.215,"[0, 0, 1]"
17,Grudger,"First by Feld: 1.0, 0.5, 200",243,0,1.215,"[0, 0, 1]"
17,"First by Feld: 1.0, 0.5, 200",Grudger,243,0,1.215,"[0, 0, 1]"
18,Grudger,"First by Feld: 1.0, 0.5, 200",243,0,1.215,"[0, 0, 1]"
18,"First by Feld: 1.0, 0.5, 200",Grudger,243,0,1.215,"[0, 0, 1]"
19,Grudger,"First by Feld: 1.0, 0.5, 200",243,0,1.215,"[0, 0, 1]"
19,"First by Feld: 1.0, 0.5, 200",Grudger,243,0,1.215,"[0, 0, 1]"
20,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",595,-5,2.975,"[0, 1, 0]"
20,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,600,5,3.0,"[0, 1, 0]"
21,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",595,-5,2.975,"[0, 1, 0]"
21,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,600,5,3.0,"[0, 1, 0]"
22,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",595,-5,2.975,"[0, 1, 0]"
22,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,600,5,3.0,"[0, 1, 0]"
23,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",595,-5,2.975,"[0, 1, 0]"
23,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,600,5,3.0,"[0, 1, 0]"
24,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",595,-5,2.975,"[0, 1, 0]"
24,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,600,5,3.0,"[0, 1, 0]"
25,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",595,-5,2.975,"[0, 1, 0]"
25,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,600,5,3.0,"[0, 1, 0]"
26,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",595,-5,2.975,"[0, 1, 0]"
26,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,600,5,3.0,"[0, 1, 0]"
27,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",595,-5,2.975,"[0, 1, 0]"
27,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,600,5,3.0,"[0, 1, 0]"
28,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",595,-5,2.975,"[0, 1, 0]"
28,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,600,5,3.0,"[0, 1, 0]"
29,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",595,-5,2.975,"[0, 1, 0]"
29,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,600,5,3.0,"[0, 1, 0]"
30,Tit For Tat,First by Nydegger,600,0,3.0,"[0, 0, 1]"
30,First by Nydegger,Tit For Tat,600,0,3.0,"[0, 0, 1]"
31,Tit For Tat,First by Nydegger,600,0,3.0,"[0, 0, 1]"
31,First by Nydegger,Tit For Tat,600,0,3.0,"[0, 0, 1]"
32,Tit For Tat,First by Nydegger,600,0,3.0,"[0, 0, 1]"
32,First by Nydegger,Tit For Tat,600,0,3.0,"[0, 0, 1]"
33,Tit For Tat,First by Nydegger,600,0,3.0,"[0, 0, 1]"
33,First by Nydegger,Tit For Tat,600,0,3.0,"[0, 0, 1]"
34,Tit For Tat,First by Nydegger,600,0,3.0,"[0, 0, 1]"
34,First by Nydegger,Tit For Tat,600,0,3.0,"[0, 0, 1]"
35,Tit For Tat,First by Nydegger,600,0,3.0,"[0, 0, 1]"
35,First by Nydegger,Tit For Tat,600,0,3.0,"[0, 0, 1]"
36,Tit For Tat,First by Nydegger,600,0,3.0,"[0, 0, 1]"
36,First by Nydegger,Tit For Tat,600,0,3.0,"[0, 0, 1]"
37,Tit For Tat,First by Nydegger,600,0,3.0,"[0, 0, 1]"
37,First by Nydegger,Tit For Tat,600,0,3.0,"[0, 0, 1]"
38,Tit For Tat,First by Nydegger,600,0,3.0,"[0, 0, 1]"
38,First by Nydegger,Tit For Tat,600,0,3.0,"[0, 0, 1]"
39,Tit For Tat,First by Nydegger,600,0,3.0,"[0, 0, 1]"
39,First by Nydegger,Tit For Tat,600,0,3.0,"[0, 0, 1]"
40,Grudger,First by Joss: 0.9,209,0,1.045,"[0, 0, 1]"
40,First by Joss: 0.9,Grudger,209,0,1.045,"[0, 0, 1]"
41,Grudger,First by Joss: 0.9,209,0,1.045,"[0, 0, 1]"
41,First by Joss: 0.9,Grudger,209,0,1.045,"[0, 0, 1]"
