Interaction index,Player name,Opponent name,Score,Score difference,Score per turn,Winner List
0,Tit For Tat,Tit For Tat,672,0,3.0,"[0, 0, 1]"
0,Tit For Tat,Tit For Tat,672,0,3.0,"[0, 0, 1]"
1,Tit For Tat,Tit For Tat,780,0,3.0,"[0, 0, 1]"
1,Tit For Tat,Tit For Tat,780,0,3.0,"[0, 0, 1]"
2,Tit For Tat,Tit For Tat,741,0,3.0,"[0, 0, 1]"
2,Tit For Tat,Tit For Tat,741,0,3.0,"[0, 0, 1]"
3,Tit For Tat,Tit For Tat,423,0,3.0,"[0, 0, 1]"
3,Tit For Tat,Tit For Tat,423,0,3.0,"[0, 0, 1]"
4,Tit For Tat,Tit For Tat,738,0,3.0,"[0, 0, 1]"
4,Tit For Tat,Tit For Tat,738,0,3.0,"[0, 0, 1]"
5,Tit For Tat,Tit For Tat,681,0,3.0,"[0, 0, 1]"
5,Tit For Tat,Tit For Tat,681,0,3.0,"[0, 0, 1]"
6,Tit For Tat,Tit For Tat,516,0,3.0,"[0, 0, 1]"
6,Tit For Tat,Tit For Tat,516,0,3.0,"[0, 0, 1]"
7,Tit For Tat,Tit For Tat,495,0,3.0,"[0, 0, 1]"
7,Tit For Tat,Tit For Tat,495,0,3.0,"[0, 0, 1]"
8,Tit For Tat,Tit For Tat,522,0,3.0,"[0, 0, 1]"
8,Tit For Tat,Tit For Tat,522,0,3.0,"[0, 0, 1]"
9,Tit For Tat,Tit For Tat,519,0,3.0,"[0, 0, 1]"
9,Tit For Tat,Tit For Tat,519,0,3.0,"[0, 0, 1]"
10,First by Grofman,Random: 0.5,520,-175,2.122448979591837,"[0, 1, 0]"
10,Random: 0.5,First by Grofman,695,175,2.836734693877551,"[0, 1, 0]"
11,First by Grofman,Random: 0.5,339,-110,2.11875,"[0, 1, 0]"
11,Random: 0.5,First by Grofman,449,110,2.80625,"[0, 1, 0]"
12,First by Grofman,Random: 0.5,334,-100,2.1548387096774198,"[0, 1, 0]"
12,Random: 0.5,First by Grofman,434,100,2.8,"[0, 1, 0]"
13,First by Grofman,Random: 0.5,550,-180,2.131782945736434,"[0, 1, 0]"
13,Random: 0.5,First by Grofman,730,180,2.8294573643410854,"[0, 1, 0]"
14,First by Grofman,Random: 0.5,541,-180,2.1215686274509804,"[0, 1, 0]"
14,Random: 0.5,First by Grofman,721,180,2.827450980392157,"[0, 1, 0]"
15,First by Grofman,Random: 0.5,465,-190,2.066666666666667,"[0, 1, 0]"
15,Random: 0.5,First by Grofman,655,190,2.911111111111111,"[0, 1, 0]"
16,First by Grofman,Random: 0.5,386,-160,2.0423280423280423,"[0, 1, 0]"
16,Random: 0.5,First by Grofman,546,160,2.888888888888889,"[0, 1, 0]"
17,First by Grofman,Random: 0.5,452,-195,2.0452488687782804,"[0, 1, 0]"
17,Random: 0.5,First by Grofman,647,195,2.927601809954751,"[0, 1, 0]"
18,First by Grofman,Random: 0.5,501,-160,2.141025641025641,"[0, 1, 0]"
