P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"Tit For Tat,Tit For Tat","[0, 0, 10]","[639, 564, 420, 711, 669, 486, 462, 699, 558, 726]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[639, 564, 420, 711, 669, 486, 462, 699, 558, 726]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",593.4,3.0,593.4,3.0
"First by Shubik,First by Davis: 10","[0, 0, 10]","[573, 453, 474, 516, 663, 459, 540, 564, 438, 435]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[573, 453, 474, 516, 663, 459, 540, 564, 438, 435]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",511.5,3.0,511.5,3.0
"Tit For Tat,First by Tideman and Chieruzzi: (D, D)","[0, 10, 0]","[604, 460, 520, 676, 448, 415, 484, 556, 502, 532]","[2.9754, 2.9677, 2.9714, 2.978, 2.9669, 2.9643, 2.9693, 2.9733, 2.9704, 2.9721]","[609, 465, 525, 681, 453, 420, 489, 561, 507, 537]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",519.7,2.97088,524.7,3.0
"First by Shubik,First by Graaskamp: 0.05","[10, 0, 0]","[838, 601, 668, 777, 848, 662, 589, 855, 823, 749]","[3.4772, 3.454, 3.4792, 3.5, 3.3785, 3.4842, 3.4647, 3.3012, 3.5322, 3.533]","[443, 351, 373, 427, 453, 367, 339, 465, 433, 399]","[1.8382, 2.0172, 1.9427, 1.9234, 1.8048, 1.9316, 1.9941, 1.7954, 1.8584, 1.8821]",741.0,3.46042,405.0,1.89879
"Tit For Tat,First by Nydegger","[0, 0, 10]","[750, 702, 513, 627, 636, 702, 600, 729, 567, 468]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[750, 702, 513, 627, 636, 702, 600, 729, 567, 468]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",629.4,3.0,629.4,3.0
"First by Stein and Rapoport: 0.05: (D, D),First by Davis: 10","[10, 0, 0]","[456, 636, 630, 654, 603, 753, 756, 609, 576, 753]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[451, 631, 625, 649, 598, 748, 751, 604, 571, 748]","[2.9671, 2.9764, 2.9762, 2.9771, 2.9751, 2.9801, 2.9802, 2.9754, 2.974, 2.9801]",642.6,3.0,637.6,2.97617
"Tit For Tat,First by Grofman","[0, 0, 10]","[420, 621, 642, 738, 429, 780, 615, 708, 594, 669]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[420, 621, 642, 738, 429, 780, 615, 708, 594, 669]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",621.6,3.0,621.6,3.0
"First by Stein and Rapoport: 0.05: (D, D),First by Graaskamp: 0.05","[1, 0, 9]","[616, 606, 416, 646, 606, 461, 561, 601, 651, 456]","[2.5992, 2.6009, 2.6497, 2.5944, 2.6009, 2.6494, 2.6093, 2.6017, 2.5936, 2.6358]","[616, 606, 416, 646, 606, 456, 561, 601, 651, 456]","[2.5992, 2.6009, 2.6497, 2.5944, 2.6009, 2.6207, 2.6093, 2.6017, 2.5936, 2.6358]",562.0,2.61349,561.5,2.61062
"Tit For Tat,First by Shubik","[0, 0, 10]","[762, 723, 651, 471, 459, 438, 564, 738, 720, 516]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[762, 723, 651, 471, 459, 438, 564, 738, 720, 516]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",604.2,3.0,604.2,3.0
"Grudger,First by Downing","[10, 0, 0]","[185, 235, 261, 234, 201, 231, 265, 270, 184, 205]","[1.0632, 1.0491, 1.044, 1.0493, 1.0579, 1.05, 1.0433, 1.0425, 1.0636, 1.0567]","[175, 225, 251, 224, 191, 221, 255, 260, 174, 195]","[1.0057, 1.0045, 1.004, 1.0045, 1.0053, 1.0045, 1.0039, 1.0039, 1.0058, 1.0052]",227.1,1.05196,217.1,1.00473
"Tit For Tat,First by Stein and Rapoport: 0.05: (D, D)","[0, 10, 0]","[619, 484, 700, 427, 643, 523, 523, 676, 640, 448]","[2.976, 2.9693, 2.9787, 2.9653, 2.9769, 2.9716, 2.9716, 2.978, 2.9767, 2.9669]","[624, 489, 705, 432, 648, 528, 528, 681, 645, 453]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",568.3,2.9731,573.3,3.0
"Grudger,First by Feld: 1.0, 0.5, 200","[0, 0, 10]","[274, 290, 194, 240, 284, 289, 225, 194, 254, 174]","[1.1276, 1.1197, 1.1902, 1.1483, 1.1225, 1.1202, 1.1598, 1.1902, 1.139, 1.2168]","[274, 290, 194, 240, 284, 289, 225, 194, 254, 174]","[1.1276, 1.1197, 1.1902, 1.1483, 1.1225, 1.1202, 1.1598, 1.1902, 1.139, 1.2168]",241.8,1.15343,241.8,1.15343
"Tit For Tat,Grudger","[0, 0, 10]","[606, 741, 561, 720, 684, 594, 576, 516, 438, 504]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[606, 741, 561, 720, 684, 594, 576, 516, 438, 504]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",594.0,3.0,594.0,3.0
"Grudger,First by Joss: 0.9","[0, 0, 10]","[209, 244, 187, 290, 277, 290, 219, 268, 226, 191]","[1.2151, 1.1787, 1.2467, 1.1462, 1.1542, 1.1462, 1.2033, 1.1602, 1.1958, 1.2403]","[209, 244, 187, 290, 277, 290, 219, 268, 226, 191]","[1.2151, 1.1787, 1.2467, 1.1462, 1.1542, 1.1462, 1.2033, 1.1602, 1.1958, 1.2403]",240.1,1.1886700000000001,240.1,1.1886700000000001
"Tit For Tat,First by Davis: 10","[0, 0, 10]","[585, 759, 600, 639, 585, 582, 420, 537, 690, 612]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[585, 759, 600, 639, 585, 582, 420, 537, 690, 612]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",600.9,3.0,600.9,3.0
"Grudger,First by Tullock","[10, 0, 0]","[306, 272, 248, 214, 306, 270, 235, 270, 306, 251]","[1.2191, 1.2535, 1.285, 1.3459, 1.2191, 1.2558, 1.3056, 1.2558, 1.2191, 1.2806]","[301, 267, 243, 209, 301, 265, 230, 265, 301, 246]","[1.1992, 1.2304, 1.2591, 1.3145, 1.1992, 1.2326, 1.2778, 1.2326, 1.1992, 1.2551]",267.8,1.2639500000000001,262.8,1.23997
"Tit For Tat,First by Graaskamp: 0.05","[0, 5, 5]","[445, 375, 430, 490, 645, 520, 635, 495, 400, 620]","[2.6331, 2.6786, 2.638, 2.6203, 2.6008, 2.6263, 2.5918, 2.633, 2.6667, 2.5941]","[450, 375, 435, 495, 645, 520, 640, 495, 400, 625]","[2.6627, 2.6786, 2.6687, 2.6471, 2.6008, 2.6263, 2.6122, 2.633, 2.6667, 2.6151]",505.5,2.62827,508.0,2.64112
"Grudger,First by Anonymous","[10, 0, 0]","[594, 715, 837, 548, 774, 599, 665, 686, 830, 692]","[3.3943, 3.25, 3.2442, 3.4037, 3.2385, 3.4034, 3.2921, 3.2512, 3.2549, 3.2488]","[74, 100, 117, 68, 109, 74, 90, 96, 115, 97]","[0.4229, 0.4545, 0.4535, 0.4224, 0.4561, 0.4205, 0.4455, 0.455, 0.451, 0.4554]",694.0,3.29811,94.0,0.44368
"Tit For Tat,First by Downing","[0, 0, 10]","[771, 540, 432, 606, 483, 681, 561, 441, 570, 762]","[2.9884, 2.9834, 2.9793, 2.9852, 2.9815, 2.9868, 2.984, 2.9797, 2.9843, 2.9882]","[771, 540, 432, 606, 483, 681, 561, 441, 570, 762]","[2.9884, 2.9834, 2.9793, 2.9852, 2.9815, 2.9868, 2.984, 2.9797, 2.9843, 2.9882]",584.7,2.98408,584.7,2.98408
"Grudger,Random: 0.5","[10, 0, 0]","[593, 492, 516, 712, 535, 611, 496, 514, 534, 795]","[3.1211, 3.2157, 3.1273, 3.0558, 3.1105, 3.1173, 3.1592, 3.1534, 3.1228, 3.1055]","[103, 82, 91, 127, 95, 106, 86, 89, 94, 135]","[0.5421, 0.5359, 0.5515, 0.5451, 0.5523, 0.5408, 0.5478, 0.546, 0.5497, 0.5273]",579.8,3.12886,100.8,0.54385
"Tit For Tat,First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[269, 216, 223, 241, 271, 313, 298, 324, 272, 231]","[1.345, 1.4694, 1.4481, 1.4012, 1.3416, 1.2828, 1.3013, 1.2706, 1.3399, 1.4259]","[274, 221, 228, 246, 276, 318, 303, 329, 277, 236]","[1.37, 1.5034, 1.4805, 1.4302, 1.3663, 1.3033, 1.3231, 1.2902, 1.3645, 1.4568]",265.8,1.36258,270.8,1.38883
"First by Davis: 10,First by Graaskamp: 0.05","[10, 0, 0]","[365, 403, 372, 412, 383, 379, 350, 428, 451, 398]","[2.3101, 2.0561, 2.2545, 2.0098, 2.1761, 2.2035, 2.4476, 1.9367, 1.8484, 2.0838]","[235, 273, 242, 282, 253, 249, 220, 298, 321, 268]","[1.4873, 1.3929, 1.4667, 1.3756, 1.4375, 1.4477, 1.5385, 1.3484, 1.3156, 1.4031]",394.1,2.13266,264.1,1.42133
